State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2002,982482,0,41197,23050,0,3080
Alaska,2002,0,0,2176665,0,0,543
Arizona,2002,95357,12,700101,1195,1,3041
Arkansas,2002,136039,0,15334,219,0,1380
California,2002,88362,4138,506696,667,281,8328
Colorado,2002,10739,23212,926502,73,18,3067
Connecticut,2002,106,0,1843,13,0,131
Delaware,2002,0,0,1659,0,0,30
Florida,2002,293201,406,50328,341,8,2512
Georgia,2002,43800,0,160041,50,0,7185
Hawaii,2002,0,0,3660,0,0,1
Idaho,2002,46273,7688,84964,445,35,1486
Illinois,2002,683,0,96,20,0,31
Indiana,2002,15544,0,1691,62,0,581
Iowa,2002,2617,0,1045,17,0,5
Kansas,2002,5365,0,2672,50,0,25
Kentucky,2002,6990,0,26342,18,0,1074
Louisiana,2002,144599,0,25942,176,0,1139
Maine,2002,244,0,784,37,0,662
Maryland,2002,905,0,4825,24,0,726
Massachusetts,2002,2,0,2611,2,0,3018
Michigan,2002,1753,0,966,27,0,277
Minnesota,2002,106326,0,62947,605,0,2018
Mississippi,2002,195924,0,16651,208,0,1007
Missouri,2002,14010,0,4186,65,0,120
Montana,2002,24064,1190,111821,373,26,1415
Nebraska,2002,8434,0,427,51,0,45
Nevada,2002,16033,8528,77927,64,12,777
New Hampshire,2002,152,0,168,15,0,424
New Jersey,2002,7286,0,6053,119,0,1760
New Mexico,2002,32797,10940,419533,98,10,2097
New York,2002,367,0,2044,21,0,336
North Carolina,2002,38869,0,34967,92,0,5611
North Dakota,2002,25961,0,58686,166,0,811
Ohio,2002,259,0,3969,6,0,578
Oklahoma,2002,4471,0,36727,36,0,1305
Oregon,2002,98559,1,1010952,513,2,2648
Pennsylvania,2002,248,0,1965,3,0,531
Rhode Island,2002,0,0,213,0,0,128
South Carolina,2002,51895,0,30945,131,0,3570
South Dakota,2002,10097,0,30679,55,0,639
Tennessee,2002,8468,0,14993,16,0,1469
Texas,2002,86412,0,35044,114,0,1183
Utah,2002,34792,345,237427,71,2,1243
Vermont,2002,175,0,214,6,0,128
Virginia,2002,10942,0,23344,152,0,1729
Washington,2002,17155,11,92742,253,4,1285
West Virginia,2002,90,0,8681,3,0,815
Wisconsin,2002,4966,0,2273,23,0,962
Wyoming,2002,10993,5792,124823,43,9,524
