State,Year,Acres (Human),Acres (Lightning),Acres (Total),Fires (Human),Fires (Lightning),Fires (Total)
Alabama,2020,20557,0,20557,836,0,836
Alaska,2020,284,180885,181169,181,168,349
Arizona,2020,353796.5,624771,978567.5,2073,451,2524
Arkansas,2020,12552,0,12552,653,2,655
California,2020,2365932.4,1726218.1,4092150.5,9868,563,10431
Colorado,2020,447731,177626,625357,621,459,1080
Connecticut,2020,382,1,383,585,1,586
Delaware,2020,1356,0,1356,426,0,426
Florida,2020,57390.1,42023,99413.1,1997,384,2381
Georgia,2020,5676,1,5677,1698,1,1699
Hawaii,2020,472,0,472,58,0,58
Idaho,2020,237019,77333,314352,661,283,944
Illinois,2020,239.6,0,239.6,19,0,19
Indiana,2020,313,0,313,11,0,11
Iowa,2020,2168,0,2168,126,0,126
Kansas,2020,34581,0,34581,52,0,52
Kentucky,2020,7842,108,7950,523,1,524
Louisiana,2020,5852,28,5880,399,2,401
Maine,2020,992,40,1032,1109,47,1156
Maryland,2020,930,0,930,2,0,2
Massachusetts,2020,767,67,834,1178,11,1189
Michigan,2020,1121,10,1131,401,8,409
Minnesota,2020,8825,13,8838,1357,15,1372
Mississippi,2020,22022.2,13,22035.2,726,3,729
Missouri,2020,17940,0,17940,1090,0,1090
Montana,2020,220026,149607,369633,1943,490,2433
Nebraska,2020,6493,1118,7611,21,20,41
Nevada,2020,74305.5,184969.6,259275.1,520,250,770
New Hampshire,2020,84,4,88,241,11,252
New Jersey,2020,10401,1518,11919,1980,1,1981
New Mexico,2020,15663.8,93849.1,109512.9,697,321,1018
New York,2020,1104,19,1123,187,5,192
North Carolina,2020,12555.8,319,12874.8,2335,29,2364
North Dakota,2020,3732,50,3782,641,10,651
Ohio,2020,1534,17,1551,648,1,649
Oklahoma,2020,102287.3,15,102302.3,1237,4,1241
Oregon,2020,679449.5,462113,1141612.5,1553,662,2215
Pennsylvania,2020,2989,8,2997,1480,8,1488
Rhode Island,2020,85,0,85,112,1,113
South Carolina,2020,1706.1,48,1754.1,459,6,465
South Dakota,2020,13482,6154,19636,739,113,852
Tennessee,2020,4160,3,4163,366,1,367
Texas,2020,183212,73614,256826,6381,332,6713
Utah,2020,105836,223899,329735,1154,339,1493
Vermont,2020,124,2,126,93,3,96
Virginia,2020,5108,488,5596,384,26,410
Washington,2020,837422.9,4947.3,842370.2,1562,84,1646
West Virginia,2020,6724,1472,8196,1175,55,1230
Wisconsin,2020,1778,7,1785,777,4,781
Wyoming,2020,290077.6,49705,339782.6,609,219,828
