State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2003,767732,0,12260,15953,0,1249
Alaska,2003,1555,42800,559332,6,1,451
Arizona,2003,119285,4209,193475,446,18,2868
Arkansas,2003,198568,0,25446,275,0,1751
California,2003,67782,41069,793402,738,126,9116
Colorado,2003,22238,3519,27655,122,31,2027
Connecticut,2003,96,0,138,8,0,97
Delaware,2003,20,0,22,1,0,4
Florida,2003,412479,2715,34366,437,10,2118
Georgia,2003,80013,0,9794,99,0,3392
Hawaii,2003,245,0,6465,2,0,2
Idaho,2003,50057,26719,312932,535,64,1845
Illinois,2003,952,0,1346,22,0,16
Indiana,2003,8743,0,4344,25,0,630
Iowa,2003,457,0,3417,6,0,34
Kansas,2003,22262,0,52864,91,0,3205
Kentucky,2003,7033,0,20931,53,0,956
Louisiana,2003,142538,0,18147,201,0,773
Maine,2003,155,0,870,20,0,625
Maryland,2003,661,0,1140,22,0,126
Massachusetts,2003,631,0,1530,24,0,1749
Michigan,2003,8411,0,7002,170,0,719
Minnesota,2003,128795,0,144420,549,0,3376
Mississippi,2003,246322,0,4803,288,0,257
Missouri,2003,2659,0,49855,6,0,2537
Montana,2003,26743,42051,735619,318,41,2326
Nebraska,2003,3844,0,3667,30,0,320
Nevada,2003,5744,2,17582,13,6,797
New Hampshire,2003,138,0,99,21,0,320
New Jersey,2003,6395,0,1460,51,0,729
New Mexico,2003,56775,158954,82528,107,11,1591
New York,2003,152,0,704,9,0,115
North Carolina,2003,42803,0,8636,111,0,1930
North Dakota,2003,20313,0,40498,124,0,743
Ohio,2003,4779,0,3889,53,0,516
Oklahoma,2003,5094,0,97500,36,0,1950
Oregon,2003,102236,250,160191,1125,2,2599
Pennsylvania,2003,0,0,924,0,0,211
Rhode Island,2003,34,0,91,2,0,80
South Carolina,2003,99255,0,2913,309,0,238
South Dakota,2003,1917,0,34471,17,0,206
Tennessee,2003,17836,0,8140,21,0,957
Texas,2003,61676,0,46827,86,0,982
Utah,2003,31961,766,115994,52,7,1630
Vermont,2003,902,0,102,43,0,101
Virginia,2003,12458,0,3743,40,0,429
Washington,2003,18186,3545,200517,115,10,1373
West Virginia,2003,221,0,8094,3,0,648
Wisconsin,2003,9071,0,6069,66,0,2320
Wyoming,2003,32852,4334,94514,32,15,557
