State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2005,74954,0,25456,93,0,1694
Alaska,2005,626,168595,4440149,4,15,607
Arizona,2005,111452,22586,975456,452,19,4027
Arkansas,2005,135968,0,26317,191,0,1891
California,2005,95095,12569,202754,903,48,7162
Colorado,2005,48213,7175,27390,193,47,1364
Connecticut,2005,130,0,263,10,0,316
Delaware,2005,225,0,231,12,0,16
Florida,2005,294041,3641,35922,341,13,2189
Georgia,2005,121443,0,19263,149,0,5573
Hawaii,2005,0,0,4,0,0,1
Idaho,2005,56199,100569,442391,239,90,1154
Illinois,2005,3409,0,733,36,0,27
Indiana,2005,11862,0,2568,70,0,1151
Iowa,2005,11274,0,10566,137,0,94
Kansas,2005,25340,0,21670,71,0,78
Kentucky,2005,21721,0,60005,38,0,1795
Louisiana,2005,141423,0,47468,160,0,1814
Maine,2005,397,0,822,45,0,507
Maryland,2005,4472,0,4350,59,0,444
Massachusetts,2005,24,0,2530,7,0,2173
Michigan,2005,6017,0,4684,99,0,680
Minnesota,2005,106602,11,24944,644,2,1745
Mississippi,2005,219005,0,5409,196,0,127
Missouri,2005,0,0,0,0,0,268
Montana,2005,35727,33823,103267,443,56,1316
Nebraska,2005,7528,0,2670,39,0,175
Nevada,2005,13580,141,1032114,33,10,798
New Hampshire,2005,140,0,172,17,0,517
New Jersey,2005,10477,0,1532,137,0,1214
New Mexico,2005,85276,95776,67036,128,27,1282
New York,2005,363,0,656,25,0,206
North Carolina,2005,112485,0,16801,264,0,4181
North Dakota,2005,30486,0,10195,140,0,355
Ohio,2005,1887,0,2920,13,0,565
Oklahoma,2005,17114,0,146594,45,0,2445
Oregon,2005,97065,36750,155331,828,36,1820
Pennsylvania,2005,235,0,1100,4,0,304
Rhode Island,2005,2,0,84,1,0,95
South Carolina,2005,88965,0,14436,195,0,2567
South Dakota,2005,14726,0,15926,127,0,1242
Tennessee,2005,22764,0,22857,27,0,1982
Texas,2005,142574,0,158520,147,0,2297
Utah,2005,20818,7454,313932,70,50,1236
Vermont,2005,139,0,574,14,0,244
Virginia,2005,17404,0,5337,48,0,778
Washington,2005,14707,2,185748,231,1,998
West Virginia,2005,87,0,2762,4,0,995
Wisconsin,2005,29258,0,6311,558,0,1628
Wyoming,2005,27339,94,17920,74,23,398
