State,Year,Acres (Human),Acres (Lightning),Acres (Total),Fires (Human),Fires (Lightning),Fires (Total)
Alabama,2019,22158,1,22158,1106,1,1107
Alaska,2019,44061,2454098,2498159,349,371,720
Arizona,2019,178815,206127,384942,1463,406,1869
Arkansas,2019,8602,0,8602,660,0,660
California,2019,216155,42993,259148,7697,497,8194
Colorado,2019,13522,26870,40392,353,504,857
Connecticut,2019,72,0,72,88,0,88
Delaware,2019,0,0,0,0,0,0
Florida,2019,33898,88602,122500,1660,461,2121
Georgia,2019,12133,274,12407,3154,4,3158
Hawaii,2019,10710,0,10710,155,0,155
Idaho,2019,83150,200876,284026,479,481,960
Illinois,2019,41,0,41,2,0,2
Indiana,2019,523,0,523,38,0,38
Iowa,2019,2020,0,2020,153,0,153
Kansas,2019,21167,0,21167,19,0,19
Kentucky,2019,11689,25,11714,754,1,755
Louisiana,2019,2689,370,3059,358,3,361
Maine,2019,135,7,142,344,11,355
Maryland,2019,1472,26,1498,135,5,140
Massachusetts,2019,248,0,248,289,0,289
Michigan,2019,1098,30,1128,350,11,361
Minnesota,2019,5847,15,5862,1014,7,1021
Mississippi,2019,5473,0,5473,959,0,959
Missouri,2019,5091,0,5091,67,0,67
Montana,2019,25752,39083,64835,982,492,1474
Nebraska,2019,9446,32,9478,11,4,15
Nevada,2019,18801,63481,82282,318,244,562
New Hampshire,2019,25,0,25,16,0,16
New Jersey,2019,11346,0,11346,727,0,727
New Mexico,2019,23269,56618,79887,452,407,859
New York,2019,220,1,221,76,3,79
North Carolina,2019,13949,599,14548,3784,88,3872
North Dakota,2019,4447,7,4454,483,5,488
Ohio,2019,1038,0,1038,498,0,498
Oklahoma,2019,66941,201,67142,1101,3,1104
Oregon,2019,22172,57560,79732,1192,1101,2293
Pennsylvania,2019,691,0,691,546,1,547
Rhode Island,2019,33,0,33,45,0,45
South Carolina,2019,5726,213,5939,976,16,992
South Dakota,2019,2027,234,2261,282,64,346
Tennessee,2019,5393,85,5478,564,7,571
Texas,2019,163118,52375,215493,6575,317,6892
Utah,2019,25748,66632,92380,690,335,1025
Vermont,2019,22,0,22,19,0,19
Virginia,2019,2643,0,2643,364,0,364
Washington,2019,118149,51592,169742,1067,327,1394
West Virginia,2019,7653,0,7653,593,0,593
Wisconsin,2019,1198,0,1198,710,0,710
Wyoming,2019,3845,38012,41857,297,189,486
