Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2003,Wyoming,557,"94,514",32,"32,852",15,"4,334",,,,,,
2004,Alabama,"2,853","40,033",99,"80,684",0,0,,,,,,
2004,Alaska,707,"6,645,978",6,"55,901",3,"66,917",,,,,,
2004,Arizona,"2,602","219,900",657,"66,199",21,"7,482",,,,,,
2004,Arkansas,"1,229","21,182",228,"226,095",0,0,,,,,,
2004,California,"8,415","242,057",743,"79,158",56,"8,369",,,,,,
2004,Colorado,"1,290","24,996",212,"47,788",40,"9,599",,,,,,
2004,Connecticut,74,94,12,185,0,0,,,,,,
2004,Delaware,0,0,0,0,0,0,,,,,,
2004,Florida,"3,363","169,789",535,"368,098",1,"3,007",,,,,,
2004,Georgia,"6,257","27,500",101,"68,461",0,0,,,,,,
2004,Hawaii,1,656,0,0,0,0,,,,,,
2004,Idaho,"1,098","13,981",478,"67,556",65,"4,501",,,,,,
2004,Illinois,38,476,20,"1,242",0,0,,,,,,
2004,Indiana,879,"3,351",74,"17,521",0,0,,,,,,
2004,Iowa,26,585,86,"7,727",0,0,,,,,,
2004,Kansas,42,"9,066",111,"26,891",0,0,,,,,,
2004,Kentucky,"1,531","28,247",43,"20,871",0,0,,,,,,
2004,Louisiana,"1,211","25,575",171,"145,469",0,0,,,,,,
2004,Maine,488,960,27,315,0,0,,,,,,
2004,Maryland,244,"3,147",51,"1,870",0,0,,,,,,
2004,Massachusetts,"1,767","1,534",23,495,0,0,,,,,,
2004,Michigan,474,"2,754",167,"11,467",2,1,,,,,,
2004,Minnesota,"2,035","42,881",595,"86,990",2,"1,436",,,,,,
2004,Mississippi,140,"3,002",239,"268,351",0,0,,,,,,
2004,Missouri,"2,073","32,542",62,"24,780",0,0,,,,,,
2004,Montana,"1,455","18,446",787,"44,634",25,"1,294",,,,,,
2004,Nebraska,24,400,56,"9,615",3,295,,,,,,
2004,Nevada,955,"39,794",27,"6,017",17,494,,,,,,
2004,New Hampshire,468,289,23,240,0,0,,,,,,
2004,New Jersey,880,549,143,"14,654",0,0,,,,,,
2004,New Mexico,"1,063","83,238",126,"83,317",17,"9,041",,,,,,
2004,New York,67,390,18,266,0,0,,,,,,
2004,North Carolina,"4,235","20,037",274,"95,490",0,0,,,,,,
2004,North Dakota,"1,039","21,358",152,"26,782",0,0,,,,,,
2004,Ohio,430,"3,126",44,"4,714",0,0,,,,,,
2004,Oklahoma,"1,616","58,893",48,"11,804",0,0,,,,,,
2004,Oregon,"2,266","30,018","1,055","138,880",8,"1,202",,,,,,
2004,Pennsylvania,3,3,1,115,0,0,,,,,,
2004,Rhode Island,70,81,1,3,0,0,,,,,,
2004,South Carolina,"3,242","23,584",179,"77,080",0,0,,,,,,
2004,South Dakota,365,"1,465",51,"16,901",0,0,,,,,,
2004,Tennessee,"1,525","15,080",21,"20,957",0,0,,,,,,
2004,Texas,609,"24,328",102,"119,873",0,0,,,,,,
2004,Utah,"1,530","76,654",83,"22,667",30,"10,100",,,,,,
2004,Vermont,81,244,28,595,0,0,,,,,,
2004,Virginia,923,"5,587",44,"14,151",0,0,,,,,,
2004,Washington,"1,674","92,617",224,"33,129",11,876,,,,,,
2004,West Virginia,608,"6,007",6,150,0,0,,,,,,
2004,Wisconsin,"1,164","2,385",524,"21,816",0,0,,,,,,
2004,Wyoming,332,"13,021",83,"24,322",8,4,,,,,,
2005,Alabama,"1,694","25,456",93,"74,954",0,0,,,,,,
2005,Alaska,607,"4,440,149",4,626,15,"168,595",,,,,,
2005,Arizona,"4,027","975,456",452,"111,452",19,"22,586",,,,,,
2005,Arkansas,"1,891","26,317",191,"135,968",0,0,,,,,,
2005,California,"7,162","202,754",903,"95,095",48,"12,569",,,,,,
2005,Colorado,"1,364","27,390",193,"48,213",47,"7,175",,,,,,
2005,Connecticut,316,263,10,130,0,0,,,,,,
2005,Delaware,16,231,12,225,0,0,,,,,,
2005,Florida,"2,189","35,922",341,"294,041",13,"3,641",,,,,,
2005,Georgia,"5,573","19,263",149,"121,443",0,0,,,,,,
2005,Hawaii,1,4,0,0,0,0,,,,,,
2005,Idaho,"1,154","442,391",239,"56,199",90,"100,569",,,,,,
2005,Illinois,27,733,36,"3,409",0,0,,,,,,
2005,Indiana,"1,151","2,568",70,"11,862",0,0,,,,,,
2005,Iowa,94,"10,566",137,"11,274",0,0,,,,,,
2005,Kansas,78,"21,670",71,"25,340",0,0,,,,,,
2005,Kentucky,"1,795","60,005",38,"21,721",0,0,,,,,,
2005,Louisiana,"1,814","47,468",160,"141,423",0,0,,,,,,
2005,Maine,507,822,45,397,0,0,,,,,,
2005,Maryland,444,"4,350",59,"4,472",0,0,,,,,,
2005,Massachusetts,"2,173","2,530",7,24,0,0,,,,,,
2005,Michigan,680,"4,684",99,"6,017",0,0,,,,,,
2005,Minnesota,"1,745","24,944",644,"106,602",2,11,,,,,,
2005,Mississippi,127,"5,409",196,"219,005",0,0,,,,,,
2005,Missouri,268,0,0,0,0,0,,,,,,
2005,Montana,"1,316","103,267",443,"35,727",56,"33,823",,,,,,
2005,Nebraska,175,"2,670",39,"7,528",0,0,,,,,,
2005,Nevada,798,"1,032,114",33,"13,580",10,141,,,,,,
2005,New Hampshire,517,172,17,140,0,0,,,,,,
2005,New Jersey,"1,214","1,532",137,"10,477",0,0,,,,,,
2005,New Mexico,"1,282","67,036",128,"85,276",27,"95,776",,,,,,
2005,New York,206,656,25,363,0,0,,,,,,
2005,North Carolina,"4,181","16,801",264,"112,485",0,0,,,,,,
2005,North Dakota,355,"10,195",140,"30,486",0,0,,,,,,
2005,Ohio,565,"2,920",13,"1,887",0,0,,,,,,
2005,Oklahoma,"2,445","146,594",45,"17,114",0,0,,,,,,
2005,Oregon,"1,820","155,331",828,"97,065",36,"36,750",,,,,,
2005,Pennsylvania,304,"1,100",4,235,0,0,,,,,,
2005,Rhode Island,95,84,1,2,0,0,,,,,,
2005,South Carolina,"2,567","14,436",195,"88,965",0,0,,,,,,
2005,South Dakota,"1,242","15,926",127,"14,726",0,0,,,,,,
2005,Tennessee,"1,982","22,857",27,"22,764",0,0,,,,,,
2005,Texas,"2,297","158,520",147,"142,574",0,0,,,,,,
2005,Utah,"1,236","313,932",70,"20,818",50,"7,454",,,,,,
2005,Vermont,244,574,14,139,0,0,,,,,,
2005,Virginia,778,"5,337",48,"17,404",0,0,,,,,,
2005,Washington,998,"185,748",231,"14,707",1,2,,,,,,
2005,West Virginia,995,"2,762",4,87,0,0,,,,,,
2005,Wisconsin,"1,628","6,311",558,"29,258",0,0,,,,,,
2005,Wyoming,398,"17,920",74,"27,339",23,94,,,,,,
2006,Alabama,"3,282","55,901","14,766","869,097",0,0,,,,,,
2006,Alaska,308,"266,266",8,"12,039",3,317,,,,,,
2006,Arizona,"3,274","177,427","1,576","75,325",33,"20,886",,,,,,
2006,Arkansas,"2,700","75,506",148,"112,607",1,"3,739",,,,,,
2006,California,"8,202","678,919",622,"67,678",60,"23,717",,,,,,
2006,Colorado,"2,023","94,483",192,"36,661",11,0,,,,,,
2006,Connecticut,322,419,6,56,0,0,,,,,,
2006,Delaware,30,126,7,94,0,0,,,,,,
2006,Florida,"4,292","199,993",376,"264,541",4,97,,,,,,
2006,Georgia,"8,352","40,202",112,"77,078",0,0,,,,,,
2006,Hawaii,4,"9,863",0,0,0,0,,,,,,
2006,Idaho,"1,831","933,548",528,"63,459",110,"39,358",,,,,,
2006,Illinois,26,"1,040",37,"4,727",0,0,,,,,,
2006,Indiana,747,"3,468",406,"20,077",0,0,,,,,,
2006,Iowa,15,827,131,"10,433",0,0,,,,,,
2006,Kansas,147,"85,746",60,"21,162",0,0,,,,,,
2006,Kentucky,"1,955","60,534",37,"24,194",0,0,,,,,,
2006,Louisiana,"2,256","42,712",138,"117,679",0,0,,,,,,
2006,Maine,614,"1,794",23,226,0,0,,,,,,
2006,Maryland,770,"6,396",49,"4,485",0,0,,,,,,
2006,Massachusetts,"2,134","2,821",6,218,0,0,,,,,,
2006,Michigan,500,"8,128",131,"7,174",0,0,,,,,,
2006,Minnesota,"2,438","66,540",608,"79,172",3,"1,697",,,,,,
2006,Mississippi,"7,427","178,973",115,"92,147",0,0,,,,,,
2006,Missouri,256,"24,308",82,"21,139",0,0,,,,,,
2006,Montana,"2,311","1,047,323",480,"45,059",44,"15,277",,,,,,
2006,Nebraska,64,"7,164",63,"8,691",0,0,,,,,,
2006,Nevada,"1,279","1,349,023",34,"6,685",13,"3,349",,,,,,
2006,New Hampshire,495,472,25,222,0,0,,,,,,
2006,New Jersey,"1,599","2,514",151,"17,275",0,0,,,,,,
2006,New Mexico,"2,636","607,802",108,"67,796",19,"15,356",,,,,,
2006,New York,249,"2,508",38,"1,748",0,0,,,,,,
2006,North Carolina,"5,540","24,995",238,"101,432",0,0,,,,,,
2006,North Dakota,"1,383","90,794",164,"31,005",0,0,,,,,,
2006,Ohio,747,"3,866",14,"1,779",0,0,,,,,,
2006,Oklahoma,"3,320","324,011",4,335,0,0,,,,,,
2006,Oregon,"3,251","545,870","1,337","112,949",4,"3,000",,,,,,
2006,Pennsylvania,563,"6,822",2,112,0,0,,,,,,
2006,Rhode Island,106,120,3,36,0,0,,,,,,
2006,South Carolina,"2,795","14,682",188,"89,710",0,0,,,,,,
2006,South Dakota,"2,342","237,807",150,"16,508",0,0,,,,,,
2006,Tennessee,"2,417","36,479",6,"2,088",0,0,,,,,,
2006,Texas,"3,062","1,564,170",159,"138,167",0,0,,,,,,
2006,Utah,"1,844","340,572",72,"20,536",35,"6,338",,,,,,
2006,Vermont,125,232,4,53,0,0,,,,,,
2006,Virginia,"1,315","19,989",30,"8,975",0,0,,,,,,
