State,Year,Acres (Rx),Acres (Wildland),Fires (Rx),Fires (Wildland)
Alabama,2009,90359,840,127,28
Alaska,2009,290,2951597,1,527
Arizona,2009,147531,263358,2097,2371
Arkansas,2009,195285,19229,262,1125
California,2009,93940,405585,841,9159
Colorado,2009,25674,50456,225,1190
Connecticut,2009,76,246,6,264
Delaware,2009,92,44,6,19
Florida,2009,402967,156102,432,2939
Georgia,2009,100167,13714,176,3732
Hawaii,2009,0,7800,0,1
Idaho,2009,33895,22681,397,1142
Illinois,2009,14833,1155,250,115
Indiana,2009,13134,4706,289,2083
Iowa,2009,33339,8565,621,718
Kansas,2009,16844,40278,90,100
Kentucky,2009,18758,43741,37,1432
Louisiana,2009,9849,29272,12,1578
Maine,2009,212,481,38,482
Maryland,2009,1353,4956,76,414
Massachusetts,2009,213,1144,21,1121
Michigan,2009,14150,3899,128,508
Minnesota,2009,158160,13858,741,1371
Mississippi,2009,8800,31280,25,2366
Missouri,2009,95268,42241,602,2957
Montana,2009,38433,48912,377,1731
Nebraska,2009,11397,1164,74,44
Nevada,2009,3108,33366,16,688
New Hampshire,2009,182,159,31,289
New Jersey,2009,71,1131,4,775
New Mexico,2009,99132,421481,76,1278
New York,2009,410,1404,23,158
North Carolina,2009,156225,25142,641,3344
North Dakota,2009,24714,3404,110,302
Ohio,2009,4487,10962,15,1164
Oklahoma,2009,5383,153948,14,1773
Oregon,2009,130654,100668,750,1488
Pennsylvania,2009,409,6132,10,630
Rhode Island,2009,0,45,1,49
South Carolina,2009,113004,7663,703,1526
South Dakota,2009,40145,10056,174,823
Tennessee,2009,25967,18704,18,1448
Texas,2009,172826,753261,151,16614
Utah,2009,28173,112753,147,1136
Vermont,2009,355,192,18,84
Virginia,2009,17392,8002,37,920
Washington,2009,26419,77250,135,1976
West Virginia,2009,155,13591,7,941
Wisconsin,2009,31221,3746,659,1640
Wyoming,2009,16299,23123,80,370
