State,Year,Acres (Rx),Acres (Wildland),Fires (Rx),Fires (Wildland)
Alabama,2014,101507,40527,132,2093
Alaska,2014,59591,233561,7,384
Arizona,2014,64905,205199,133,1543
Arkansas,2014,134305,20164,142,1302
California,2014,36997,555044,515,7865
Colorado,2014,19807,24949,239,830
Connecticut,2014,34,69,4,28
Delaware,2014,0,0,0,0
Florida,2014,360868,101599,471,2436
Georgia,2014,53457,19199,72,3562
Hawaii,2014,0,0,0,0
Idaho,2014,39050,189430,321,1180
Illinois,2014,14355,727,114,36
Indiana,2014,8728,276,36,54
Iowa,2014,19226,11347,338,577
Kansas,2014,12327,31261,47,68
Kentucky,2014,7341,43199,16,1466
Louisiana,2014,123754,25337,115,1005
Maine,2014,274,158,20,282
Maryland,2014,8711,1802,56,125
Massachusetts,2014,652,1197,64,1169
Michigan,2014,16333,716,154,268
Minnesota,2014,108052,4367,562,990
Mississippi,2014,161125,10053,183,97
Missouri,2014,45169,5607,42,105
Montana,2014,53693,38118,491,1646
Nebraska,2014,5424,992,25,38
Nevada,2014,3891,59252,27,531
New Hampshire,2014,134,45,13,62
New Jersey,2014,15171,10400,208,962
New Mexico,2014,36092,23440,65,728
New York,2014,335,582,11,94
North Carolina,2014,160924,15601,1402,4625
North Dakota,2014,15632,4069,76,567
Ohio,2014,3031,684,7,63
Oklahoma,2014,4209,157080,22,1007
Oregon,2014,88887,984629,658,3087
Pennsylvania,2014,6956,4519,167,877
Rhode Island,2014,0,0,0,1
South Carolina,2014,343586,8312,8924,1374
South Dakota,2014,35505,13127,144,918
Tennessee,2014,18181,156391,35,1249
Texas,2014,98247,131138,58,9677
Utah,2014,15801,28255,113,1035
Vermont,2014,118,91,8,53
Virginia,2014,23137,10446,24,736
Washington,2014,15197,386972,98,1480
West Virginia,2014,1294,8286,9,671
Wisconsin,2014,40795,3268,624,613
Wyoming,2014,6990,7836,52,403
