State,Year,Acres (Rx),Acres (Wildland),Fires (Rx),Fires (Wildland)
Alabama,2011,73470,71311,106,3073
Alaska,2011,8982,293018,20,515
Arizona,2011,61170,1016428,204,1988
Arkansas,2011,142503,54032,195,2627
California,2011,59273,126854,682,7989
Colorado,2011,29331,161167,236,1286
Connecticut,2011,42,244,7,196
Delaware,2011,0,0,0,0
Florida,2011,327178,299991,473,5102
Georgia,2011,96763,149222,148,8387
Hawaii,2011,150,2178,1,3
Idaho,2011,43333,384103,347,1094
Illinois,2011,7852,2019,119,62
Indiana,2011,8185,530,45,27
Iowa,2011,34372,2145,463,561
Kansas,2011,10102,111128,49,99
Kentucky,2011,12952,24961,19,1040
Louisiana,2011,159161,52763,130,3079
Maine,2011,233,116,13,308
Maryland,2011,769,8310,55,131
Massachusetts,2011,937,545,64,1116
Michigan,2011,12584,1865,142,322
Minnesota,2011,103294,135650,585,1238
Mississippi,2011,17551,42036,32,2341
Missouri,2011,71534,55395,340,2732
Montana,2011,39635,168010,384,1335
Nebraska,2011,20510,29643,50,80
Nevada,2011,5995,424170,32,817
New Hampshire,2011,182,48,16,139
New Jersey,2011,14572,794,137,708
New Mexico,2011,254762,1286487,75,1875
New York,2011,356,232,12,47
North Carolina,2011,170668,119482,1279,5279
North Dakota,2011,17644,2862,99,353
Ohio,2011,1476,1203,4,246
Oklahoma,2011,2217,293381,7,2486
Oregon,2011,73855,285712,703,1151
Pennsylvania,2011,4054,636,26,204
Rhode Island,2011,112,27,6,30
South Carolina,2011,66007,16141,113,2703
South Dakota,2011,46453,97230,236,1248
Tennessee,2011,15477,13812,16,1170
Texas,2011,13969,2722623,20,3470
Utah,2011,16354,62783,115,1102
Vermont,2011,111,14,7,11
Virginia,2011,6496,20114,144,831
Washington,2011,18664,17480,147,993
West Virginia,2011,567,2680,5,342
Wisconsin,2011,30536,719,529,735
Wyoming,2011,10418,135878,35,680
