State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2008,93619,0,32447,93,0,3103
Alaska,2008,3990,40999,62648,10,28,340
Arizona,2008,132951,28148,85496,413,18,1850
Arkansas,2008,188672,52,10941,247,1,917
California,2008,87416,29503,1375781,827,31,4108
Colorado,2008,43048,2378,141964,184,11,1131
Connecticut,2008,68,0,893,6,0,330
Delaware,2008,92,0,36,6,0,20
Florida,2008,402967,0,156102,432,0,2939
Georgia,2008,90945,0,23081,152,0,5454
Hawaii,2008,0,0,0,0,0,0
Idaho,2008,57365,51671,116796,511,38,997
Illinois,2008,6231,2,16,84,1,15
Indiana,2008,13703,0,1064,81,0,572
Iowa,2008,323,0,2217,5,0,177
Kansas,2008,15723,0,64772,82,0,68
Kentucky,2008,17395,0,38474,24,0,1552
Louisiana,2008,0,0,17332,0,0,1359
Maine,2008,281,0,535,24,0,442
Maryland,2008,547,0,2421,26,0,564
Massachusetts,2008,693,0,2918,7,0,1833
Michigan,2008,17492,0,2675,242,0,412
Minnesota,2008,108402,0,19712,597,0,1136
Mississippi,2008,13412,0,27399,29,0,1898
Missouri,2008,31949,0,9765,323,0,1051
Montana,2008,36638,7931,166840,294,26,1421
Nebraska,2008,4994,0,374,15,0,15
Nevada,2008,8399,10539,71930,20,19,452
New Hampshire,2008,147,0,195,15,0,274
New Jersey,2008,18701,1,3322,157,2,1237
New Mexico,2008,71930,2207,487652,106,9,1207
New York,2008,412,0,3629,29,0,156
North Carolina,2008,57597,0,95938,182,0,4414
North Dakota,2008,20281,0,38620,121,0,936
Ohio,2008,6767,0,1078,213,0,348
Oklahoma,2008,8426,0,196563,23,0,5572
Oregon,2008,112450,3649,136572,781,14,1766
Pennsylvania,2008,118,0,7694,6,0,733
Rhode Island,2008,108,0,132,7,0,119
South Carolina,2008,90986,0,15751,170,0,2626
South Dakota,2008,35524,0,8936,176,0,957
Tennessee,2008,19252,0,23431,22,0,1437
Texas,2008,15315,0,1570586,35,0,16713
Utah,2008,34620,3060,28490,119,21,999
Vermont,2008,312,0,168,16,0,124
Virginia,2008,19875,1934,40653,22,6,1221
Washington,2008,6292,812,147264,83,32,1303
West Virginia,2008,723,0,10296,4,0,885
Wisconsin,2008,33849,0,1050,625,0,895
Wyoming,2008,10625,53948,36941,45,7,296
