State,Year,Acres (Rx),Acres (WFU),Acres (Wildland),Fires (Rx),Fires (WFU),Fires (Wildland)
Alabama,2004,80684,0,40033,99,0,2853
Alaska,2004,55901,66917,6645978,6,3,707
Arizona,2004,66199,7482,219900,657,21,2602
Arkansas,2004,226095,0,21182,228,0,1229
California,2004,79158,8369,242057,743,56,8415
Colorado,2004,47788,9599,24996,212,40,1290
Connecticut,2004,185,0,94,12,0,74
Delaware,2004,0,0,0,0,0,0
Florida,2004,368098,3007,169789,535,1,3363
Georgia,2004,68461,0,27500,101,0,6257
Hawaii,2004,0,0,656,0,0,1
Idaho,2004,67556,4501,13981,478,65,1098
Illinois,2004,1242,0,476,20,0,38
Indiana,2004,17521,0,3351,74,0,879
Iowa,2004,7727,0,585,86,0,26
Kansas,2004,26891,0,9066,111,0,42
Kentucky,2004,20871,0,28247,43,0,1531
Louisiana,2004,145469,0,25575,171,0,1211
Maine,2004,315,0,960,27,0,488
Maryland,2004,1870,0,3147,51,0,244
Massachusetts,2004,495,0,1534,23,0,1767
Michigan,2004,11467,1,2754,167,2,474
Minnesota,2004,86990,1436,42881,595,2,2035
Mississippi,2004,268351,0,3002,239,0,140
Missouri,2004,24780,0,32542,62,0,2073
Montana,2004,44634,1294,18446,787,25,1455
Nebraska,2004,9615,295,400,56,3,24
Nevada,2004,6017,494,39794,27,17,955
New Hampshire,2004,240,0,289,23,0,468
New Jersey,2004,14654,0,549,143,0,880
New Mexico,2004,83317,9041,83238,126,17,1063
New York,2004,266,0,390,18,0,67
North Carolina,2004,95490,0,20037,274,0,4235
North Dakota,2004,26782,0,21358,152,0,1039
Ohio,2004,4714,0,3126,44,0,430
Oklahoma,2004,11804,0,58893,48,0,1616
Oregon,2004,138880,1202,30018,1055,8,2266
Pennsylvania,2004,115,0,3,1,0,3
Rhode Island,2004,3,0,81,1,0,70
South Carolina,2004,77080,0,23584,179,0,3242
South Dakota,2004,16901,0,1465,51,0,365
Tennessee,2004,20957,0,15080,21,0,1525
Texas,2004,119873,0,24328,102,0,609
Utah,2004,22667,10100,76654,83,30,1530
Vermont,2004,595,0,244,28,0,81
Virginia,2004,14151,0,5587,44,0,923
Washington,2004,33129,876,92617,224,11,1674
West Virginia,2004,150,0,6007,6,0,608
Wisconsin,2004,21816,0,2385,524,0,1164
Wyoming,2004,24322,4,13021,83,8,332
