State,Year,Acres (Rx),Acres (Wildland),Fires (Rx),Fires (Wildland)
Alabama,2010,85175,24956,109,2561
Alaska,2010,505,1125419,6,689
Arizona,2010,86826,76318,255,1601
Arkansas,2010,204808,37671,257,2353
California,2010,72565,109529,970,6554
Colorado,2010,29377,44020,306,1169
Connecticut,2010,52,267,6,69
Delaware,2010,22,32,3,12
Florida,2010,444400,63091,537,2984
Georgia,2010,158311,20137,8512,4273
Hawaii,2010,0,10172,0,9
Idaho,2010,36652,642997,223,984
Illinois,2010,7639,1330,45,121
Indiana,2010,15635,7940,65,1296
Iowa,2010,8665,2722,110,123
Kansas,2010,11642,25055,56,51
Kentucky,2010,23044,60287,26,1911
Louisiana,2010,12395,35448,20,2374
Maine,2010,317,353,36,558
Maryland,2010,1604,1590,45,176
Massachusetts,2010,550,2156,39,2027
Michigan,2010,13817,12122,157,623
Minnesota,2010,133466,34121,528,2067
Mississippi,2010,251726,34810,211,3354
Missouri,2010,69520,22274,433,1397
Montana,2010,41518,56711,515,1050
Nebraska,2010,23119,1142,58,27
Nevada,2010,4771,23869,28,487
New Hampshire,2010,77,145,11,358
New Jersey,2010,2537,18495,85,3616
New Mexico,2010,61403,233056,63,998
New York,2010,3586,2087,21,154
North Carolina,2010,87446,21463,569,4213
North Dakota,2010,29671,3854,157,460
Ohio,2010,1927,4218,16,571
Oklahoma,2010,10064,85770,21,1735
Oregon,2010,114716,93731,836,1315
Pennsylvania,2010,2242,3482,43,583
Rhode Island,2010,0,23,0,30
South Carolina,2010,13778,7568,87,1916
South Dakota,2010,41491,12461,204,1078
Tennessee,2010,10767,22149,16,1858
Texas,2010,166006,210320,144,6748
Utah,2010,22657,64781,124,1050
Vermont,2010,292,86,13,81
Virginia,2010,21986,8369,31,868
Washington,2010,20482,56820,125,870
West Virginia,2010,2950,14701,15,718
Wisconsin,2010,44650,2224,687,1318
Wyoming,2010,2423862,3422724,16882,71971
